match_number,season,city,venue,gender,match_type,toss_winner,toss_decision,teams,team,over,ballno,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,legbyes,wides,noballs,byes
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,1,1,AC Gilchrist,GD McGrath,Y Venugopal Rao,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,1,2,AC Gilchrist,GD McGrath,Y Venugopal Rao,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,1,3,AC Gilchrist,GD McGrath,Y Venugopal Rao,0,1,1,1,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,1,4,Y Venugopal Rao,GD McGrath,AC Gilchrist,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,1,5,Y Venugopal Rao,GD McGrath,AC Gilchrist,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,1,6,Y Venugopal Rao,GD McGrath,AC Gilchrist,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,2,7,AC Gilchrist,Mohammad Asif,Y Venugopal Rao,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,2,8,AC Gilchrist,Mohammad Asif,Y Venugopal Rao,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,2,9,AC Gilchrist,Mohammad Asif,Y Venugopal Rao,6,0,6,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,2,10,AC Gilchrist,Mohammad Asif,Y Venugopal Rao,0,0,0,0,0,0,0
7,2007/08,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",male,T20,Deccan Chargers,bat,"Deccan Chargers,Delhi Daredevils",Deccan Chargers,2,11,AC Gilchrist,Mohammad Asif,Y Venugopal Rao,2,0,2,0,0,0,0
